time_ns,device,sensor,x,y,z,extra
1774665763481861600,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.6780150721103793, ""qx"": -0.31339826170029533, ""qz"": 0.3526653919944873, ""roll"": -0.26756596712055936, ""qw"": -0.8480236668127662, ""qy"": 0.24138039105866174, ""pitch"": 0.7779089213568925}"
1774665763491844600,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.6726151665831323, ""qx"": -0.3137425239810225, ""qz"": 0.3503258804320631, ""roll"": -0.2672364527753517, ""qw"": -0.8491754164262826, ""qy"": 0.24028829012718797, ""pitch"": 0.7770838348377453}"
1774665763501828600,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.6670875447432864, ""qx"": -0.31412193922232773, ""qz"": 0.34792352768754475, ""roll"": -0.2668763436531711, ""qw"": -0.8503382609428758, ""qy"": 0.23916813540288, ""pitch"": 0.7763000261173371}"
1774665763511811800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.661425923126195, ""qx"": -0.314531064651609, ""qz"": 0.345458459209865, ""roll"": -0.2665041953479224, ""qw"": -0.8515117278468968, ""qy"": 0.2380258371244639, ""pitch"": 0.7755513409315374}"
1774665763521794800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.6555576630305997, ""qx"": -0.31496269047942427, ""qz"": 0.34291213303664436, ""roll"": -0.266200606064145, ""qw"": -0.8526993371229054, ""qy"": 0.23688349544135878, ""pitch"": 0.7748339053536233}"
1774665763531777500,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.6495272796706769, ""qx"": -0.31545595146346417, ""qz"": 0.34029581923627816, ""roll"": -0.2659173362976057, ""qw"": -0.8538816859510627, ""qy"": 0.23573771724890558, ""pitch"": 0.7742292654358698}"
1774665763541760800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.643288924677007, ""qx"": -0.3160362871535514, ""qz"": 0.3375908358772492, ""roll"": -0.2656622168161598, ""qw"": -0.8550561922011102, ""qy"": 0.23458974074271813, ""pitch"": 0.7737860127335446}"
1774665763551743700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.6368760080513625, ""qx"": -0.3166889171333772, ""qz"": 0.33482243286228186, ""roll"": -0.26550410656501033, ""qw"": -0.8562079476298561, ""qy"": 0.23347383553816767, ""pitch"": 0.7735056379669313}"
1774665763561726500,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.6303327617202754, ""qx"": -0.3173834344314145, ""qz"": 0.33200398318951224, ""roll"": -0.26540696266600783, ""qw"": -0.8573471384278124, ""qy"": 0.23237250954415004, ""pitch"": 0.773317058340098}"
1774665763571710500,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.6236777253715055, ""qx"": -0.3180910902764717, ""qz"": 0.32914155371388454, ""roll"": -0.26535917058061415, ""qw"": -0.8584843700015737, ""qy"": 0.23127573398939266, ""pitch"": 0.7731558229025265}"
1774665763581693700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.617001938988975, ""qx"": -0.31877604920118013, ""qz"": 0.3262732653356653, ""roll"": -0.26535516245964585, ""qw"": -0.8596165645678087, ""qy"": 0.23018867667238357, ""pitch"": 0.7729627456250487}"
1774665763591676700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.6103155810745099, ""qx"": -0.31939621312573274, ""qz"": 0.3234069912331346, ""roll"": -0.26541852163409063, ""qw"": -0.8607559372427486, ""qy"": 0.22911371937546005, ""pitch"": 0.7726542949594887}"
1774665763601659600,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.6035508476342626, ""qx"": -0.3199618470207171, ""qz"": 0.3205233999958594, ""roll"": -0.2656113638269359, ""qw"": -0.861900756375261, ""qy"": 0.22807056838136627, ""pitch"": 0.7722581661960564}"
1774665763611642600,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.5966642801427099, ""qx"": -0.3204786895307243, ""qz"": 0.3176090327905705, ""roll"": -0.26596764138907364, ""qw"": -0.8630513437085996, ""qy"": 0.2270689250061798, ""pitch"": 0.7717875270965575}"
